PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,localidad,latitud,longitud
GWETTOP,2023,0.75,0.68,0.72,0.73,0.73,0.71,0.69,0.65,0.63,0.68,0.69,0.64,0.69,Suba,4.7594,-74.09035
GWETTOP,2024,0.55,0.55,0.5,0.6,0.72,0.75,0.73,0.65,0.61,0.65,0.71,0.67,0.64,Suba,4.7594,-74.09035
ALLSKY_SFC_LW_DWN,2020,31.45,31.78,32.74,32.62,32.56,31.87,31.94,32.02,32.2,32.19,32.21,32.08,32.14,Suba,4.7594,-74.09035
ALLSKY_SFC_LW_DWN,2021,31.83,33.35,33.06,32.29,32.28,31.9,31.94,32.09,31.99,32.28,31.96,32.3,32.27,Suba,4.7594,-74.09035
ALLSKY_SFC_LW_DWN,2022,31.9,32.56,32.51,33.42,32.98,32.95,32.91,32.53,33.11,33.09,33.04,32.59,32.8,Suba,4.7594,-74.09035
ALLSKY_SFC_LW_DWN,2023,32.45,32.87,33.71,33.32,33.15,32.73,33.16,33.11,33.52,33.66,33.53,33.61,33.24,Suba,4.7594,-74.09035
ALLSKY_SFC_LW_DWN,2024,32.78,34.25,34.67,34.04,33.94,33.44,33.04,33.09,33.66,33.33,33.5,33.62,33.61,Suba,4.7594,-74.09035
T2M,2020,20.44,21.0,20.6,21.02,21.71,20.29,20.18,20.53,20.62,21.31,20.2,20.81,20.73,Suba,4.7594,-74.09035
T2M,2021,20.59,21.03,20.14,20.92,21.51,20.51,21.52,21.83,21.84,21.34,20.67,20.98,21.07,Suba,4.7594,-74.09035
T2M,2022,20.87,20.62,20.03,20.17,20.25,19.41,19.98,19.91,20.03,19.39,18.91,18.91,19.87,Suba,4.7594,-74.09035
T2M,2023,18.61,20.02,19.65,20.03,21.0,20.65,21.12,21.38,22.07,20.84,20.61,21.25,20.6,Suba,4.7594,-74.09035
T2M,2024,22.48,22.49,23.44,22.28,21.1,20.61,20.63,20.99,21.82,20.77,19.38,20.1,21.34,Suba,4.7594,-74.09035
T2MDEW,2020,15.66,15.33,16.38,16.84,16.28,15.72,15.33,15.51,15.43,14.62,15.92,14.94,15.66,Suba,4.7594,-74.09035
T2MDEW,2021,14.69,15.46,15.67,16.08,15.25,15.06,13.91,13.98,14.26,15.7,15.72,16.1,15.15,Suba,4.7594,-74.09035
T2MDEW,2022,14.89,15.47,16.35,16.47,16.44,15.96,15.71,15.29,15.79,16.23,16.66,15.79,15.92,Suba,4.7594,-74.09035
T2MDEW,2023,15.33,15.58,16.59,16.76,16.92,15.55,15.48,14.87,15.4,16.56,16.63,16.49,16.02,Suba,4.7594,-74.09035
T2MDEW,2024,14.26,16.28,16.29,16.62,17.72,16.85,16.23,15.41,15.42,16.23,16.76,16.95,16.25,Suba,4.7594,-74.09035
