PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,localidad,latitud,longitud
IMERG_PRECTOT,2020,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Antonio Nari̱o,4.60971,-74.08207
IMERG_PRECTOT,2021,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Antonio Nari̱o,4.60971,-74.08207
IMERG_PRECTOT,2022,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Antonio Nari̱o,4.60971,-74.08207
IMERG_PRECTOT,2023,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Antonio Nari̱o,4.60971,-74.08207
IMERG_PRECTOT,2024,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Antonio Nari̱o,4.60971,-74.08207
PRECTOTCORR,2020,0.76,4.57,3.42,5.2,4.54,10.42,6.62,3.91,3.98,1.96,2.37,3.68,4.27,Antonio Nari̱o,4.60971,-74.08207
PRECTOTCORR,2021,3.39,3.51,4.26,5.89,1.74,6.56,1.86,2.29,4.83,3.11,2.88,2.11,3.52,Antonio Nari̱o,4.60971,-74.08207
PRECTOTCORR,2022,1.85,4.7,6.45,8.67,10.29,6.91,7.36,5.24,4.5,8.15,5.97,2.28,6.04,Antonio Nari̱o,4.60971,-74.08207
PRECTOTCORR,2023,5.85,1.93,5.33,7.27,7.13,5.06,4.88,4.25,4.65,6.48,5.67,4.32,5.26,Antonio Nari̱o,4.60971,-74.08207
PRECTOTCORR,2024,0.62,2.34,2.58,7.44,11.99,8.27,4.15,1.92,2.87,5.74,6.53,5.08,4.96,Antonio Nari̱o,4.60971,-74.08207
PRECTOTCORR_SUM,2020,23.51,132.39,106.01,156.11,140.88,312.54,205.21,121.34,119.27,60.73,71.11,113.99,1563.09,Antonio Nari̱o,4.60971,-74.08207
PRECTOTCORR_SUM,2021,105.14,98.38,132.12,176.72,53.85,196.89,57.61,71.11,145.0,96.44,86.48,65.48,1285.22,Antonio Nari̱o,4.60971,-74.08207
PRECTOTCORR_SUM,2022,57.49,131.69,199.88,260.12,319.0,207.29,228.31,162.59,135.09,252.6,179.19,70.75,2204.0,Antonio Nari̱o,4.60971,-74.08207
PRECTOTCORR_SUM,2023,181.32,54.03,165.16,218.01,220.91,151.78,151.41,131.76,139.46,200.76,170.2,133.78,1918.58,Antonio Nari̱o,4.60971,-74.08207
PRECTOTCORR_SUM,2024,19.18,67.75,80.08,223.34,371.83,247.96,128.74,59.62,85.99,178.05,195.92,157.62,1816.08,Antonio Nari̱o,4.60971,-74.08207
