PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,localidad,latitud,longitud
PRECTOTCORR_SUM,2023,245.83,49.1,164.48,314.03,400.9,321.68,287.48,217.72,223.91,284.84,240.27,234.64,2984.88,Chapinero,4.6704,-74.04338
PRECTOTCORR_SUM,2024,6.68,65.42,113.87,223.74,525.84,299.25,191.05,107.26,94.74,260.94,257.74,210.39,2356.92,Chapinero,4.6704,-74.04338
QV2M,2020,12.02,11.71,12.08,12.76,12.65,11.85,11.57,11.88,11.74,11.45,12.73,12.19,12.05,Chapinero,4.6704,-74.04338
QV2M,2021,11.24,12.03,12.01,12.45,12.44,11.71,11.54,11.43,11.23,12.49,12.37,12.19,11.93,Chapinero,4.6704,-74.04338
QV2M,2022,10.9,11.41,12.48,12.34,12.27,11.77,11.58,11.38,11.65,12.39,12.86,11.84,11.91,Chapinero,4.6704,-74.04338
QV2M,2023,11.5,11.39,12.36,12.74,12.82,11.79,12.12,11.75,12.24,12.38,12.81,13.28,12.27,Chapinero,4.6704,-74.04338
QV2M,2024,11.87,12.78,13.24,12.92,13.3,12.51,12.13,11.73,12.0,12.49,12.95,12.99,12.57,Chapinero,4.6704,-74.04338
RH2M,2020,85.49,81.7,83.03,87.97,89.96,90.02,89.64,88.33,86.09,83.27,86.83,84.4,86.41,Chapinero,4.6704,-74.04338
RH2M,2021,84.07,84.82,86.23,88.44,87.69,87.39,86.93,83.31,82.05,86.03,86.12,82.75,85.49,Chapinero,4.6704,-74.04338
RH2M,2022,76.89,80.86,88.08,88.48,90.5,90.3,89.88,88.76,86.38,88.35,90.9,88.61,87.37,Chapinero,4.6704,-74.04338
RH2M,2023,88.77,85.55,88.16,90.19,90.13,89.78,90.69,87.26,86.47,86.21,89.21,90.89,88.63,Chapinero,4.6704,-74.04338
RH2M,2024,84.17,84.49,85.44,86.73,90.81,90.88,90.85,86.94,84.21,86.6,89.95,90.07,87.61,Chapinero,4.6704,-74.04338
GWETPROF,2020,0.81,0.74,0.75,0.84,0.9,0.95,0.96,0.92,0.91,0.83,0.78,0.71,0.84,Chapinero,4.6704,-74.04338
GWETPROF,2021,0.76,0.74,0.75,0.8,0.76,0.73,0.72,0.66,0.65,0.66,0.68,0.63,0.71,Chapinero,4.6704,-74.04338
GWETPROF,2022,0.6,0.6,0.73,0.82,0.94,0.96,0.95,0.95,0.91,0.92,0.94,0.91,0.85,Chapinero,4.6704,-74.04338
GWETPROF,2023,0.9,0.82,0.84,0.89,0.95,0.96,0.95,0.92,0.89,0.9,0.93,0.9,0.9,Chapinero,4.6704,-74.04338
GWETPROF,2024,0.84,0.75,0.7,0.75,0.9,0.96,0.94,0.88,0.78,0.82,0.91,0.89,0.84,Chapinero,4.6704,-74.04338
GWETROOT,2020,0.8,0.73,0.74,0.83,0.91,0.97,0.97,0.93,0.92,0.82,0.76,0.69,0.84,Chapinero,4.6704,-74.04338
