YEAR,localidad,latitud,longitud,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,ALLSKY_SRF_ALB,CLOUD_AMT,CLRSKY_SFC_PAR_TOT,CLRSKY_SFC_SW_DWN,GWETPROF,GWETROOT,GWETTOP,ONI,PRECTOTCORR,PRECTOTCORR_SUM,PS,QV2M,RH2M,T2M,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TOA_SW_DWN,TS,WD10M,WD2M,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS2M,WS2M_MAX,WS2M_MIN,WS2M_RANGE,BIMESTRE
2020,ANTONIO NARINO,4.60971,-74.08207,32.138333333333335,8.175833333333333,8.390833333333333,9.771666666666667,17.188333333333333,1.1958333333333333,0.03833333333333334,2.299166666666667,0.1525,80.05499999999999,11.5175,25.36,0.6875,0.6383333333333333,0.6533333333333333,-0.35916666666666663,4.285833333333334,130.2575,82.34166666666667,12.825833333333334,77.94833333333334,19.040833333333335,14.615,16.8275,26.201666666666668,11.865,9.753333333333332,35.80083333333334,19.224999999999998,92.0,121.77499999999999,1.8008333333333333,5.151666666666666,0.10333333333333333,2.1658333333333335,1.1258333333333332,3.7133333333333334,0.06333333333333334,1.74,3.5
2020,BARRIOS UNIDOS,4.6989,-74.07075,32.138333333333335,8.175833333333333,8.390833333333333,9.771666666666667,17.188333333333333,1.1958333333333333,0.03833333333333334,2.299166666666667,0.1525,80.05499999999999,11.5175,25.36,0.6875,0.6383333333333333,0.6533333333333333,-0.35916666666666663,4.285833333333334,130.2575,82.34166666666667,12.825833333333334,77.94833333333334,19.040833333333335,14.615,16.8275,26.201666666666668,11.865,9.753333333333332,35.80083333333334,19.224999999999998,92.0,121.77499999999999,1.8008333333333333,5.151666666666666,0.10333333333333333,2.1658333333333335,1.1258333333333332,3.7133333333333334,0.06333333333333334,1.74,3.5
2020,BOSA,4.58734,-74.21668,32.138333333333335,8.175833333333333,8.390833333333333,9.771666666666667,17.188333333333333,1.1958333333333333,0.03833333333333334,2.299166666666667,0.1525,80.05499999999999,11.5175,25.36,0.6875,0.6383333333333333,0.6533333333333333,-0.35916666666666663,4.285833333333334,130.2575,82.34166666666667,12.825833333333334,77.94833333333334,19.040833333333335,14.615,16.8275,26.201666666666668,11.865,9.753333333333332,35.80083333333334,19.224999999999998,92.0,121.77499999999999,1.8008333333333333,5.151666666666666,0.10333333333333333,2.1658333333333335,1.1258333333333332,3.7133333333333334,0.06333333333333334,1.74,3.5
2020,CHAPINERO,4.6704,-74.04338,32.138333333333335,8.175833333333333,8.390833333333333,9.771666666666667,17.188333333333333,1.1958333333333333,0.03833333333333334,2.299166666666667,0.1525,80.05499999999999,11.5175,25.36,0.8416666666666667,0.8391666666666667,0.8250000000000001,-0.35916666666666663,5.875,178.94000000000003,79.59083333333334,12.0525,86.39416666666666,15.714999999999998,13.099166666666667,14.406666666666666,21.883333333333336,9.919166666666667,7.825833333333333,35.80083333333334,15.9325,103.425,106.36666666666667,1.9733333333333334,5.3758333333333335,0.09250000000000001,3.170833333333333,1.2249999999999999,3.5175,0.05333333333333334,2.14,3.5
2020,CIUDAD BOLIVAR,4.53904,-74.14732,32.138333333333335,8.175833333333333,8.390833333333333,9.771666666666667,17.188333333333333,1.1958333333333333,0.03833333333333334,2.299166666666667,0.1525,80.05499999999999,11.5175,25.36,0.6875,0.6383333333333333,0.6533333333333333,-0.35916666666666663,4.285833333333334,130.2575,82.34166666666667,12.825833333333334,77.94833333333334,19.040833333333335,14.615,16.8275,26.201666666666668,11.865,9.753333333333332,35.80083333333334,19.224999999999998,92.0,121.77499999999999,1.8008333333333333,5.151666666666666,0.10333333333333333,2.1658333333333335,1.1258333333333332,3.7133333333333334,0.06333333333333334,1.74,3.5
2020,ENGATIVA,4.70179,-74.10088,32.138333333333335,8.175833333333333,8.390833333333333,9.771666666666667,17.188333333333333,1.1958333333333333,0.03833333333333334,2.299166666666667,0.1525,80.05499999999999,11.5175,25.36,0.6875,0.6383333333333333,0.6533333333333333,-0.35916666666666663,4.285833333333334,130.2575,82.34166666666667,12.825833333333334,77.94833333333334,19.040833333333335,14.615,16.8275,26.201666666666668,11.865,9.753333333333332,35.80083333333334,19.224999999999998,92.0,121.77499999999999,1.8008333333333333,5.151666666666666,0.10333333333333333,2.1658333333333335,1.1258333333333332,3.7133333333333334,0.06333333333333334,1.74,3.5
2020,FONTIBON,4.71049,-74.145,32.138333333333335,8.175833333333333,8.390833333333333,9.771666666666667,17.188333333333333,1.1958333333333333,0.03833333333333334,2.299166666666667,0.1525,80.05499999999999,11.5175,25.36,0.6875,0.6383333333333333,0.6533333333333333,-0.35916666666666663,4.285833333333334,130.2575,82.34166666666667,12.825833333333334,77.94833333333334,19.040833333333335,14.615,16.8275,26.201666666666668,11.865,9.753333333333332,35.80083333333334,19.224999999999998,92.0,121.77499999999999,1.8008333333333333,5.151666666666666,0.10333333333333333,2.1658333333333335,1.1258333333333332,3.7133333333333334,0.06333333333333334,1.74,3.5
2020,KENNEDY,4.62598,-74.1004,32.138333333333335,8.175833333333333,8.390833333333333,9.771666666666667,17.188333333333333,1.1958333333333333,0.03833333333333334,2.299166666666667,0.1525,80.05499999999999,11.5175,25.36,0.6875,0.6383333333333333,0.6533333333333333,-0.35916666666666663,4.285833333333334,130.2575,82.34166666666667,12.825833333333334,77.94833333333334,19.040833333333335,14.615,16.8275,26.201666666666668,11.865,9.753333333333332,35.80083333333334,19.224999999999998,92.0,121.77499999999999,1.8008333333333333,5.151666666666666,0.10333333333333333,2.1658333333333335,1.1258333333333332,3.7133333333333334,0.06333333333333334,1.74,3.5
2020,LA CANDELARIA,4.59806,-74.07606,32.138333333333335,8.175833333333333,8.390833333333333,9.771666666666667,17.188333333333333,1.1958333333333333,0.03833333333333334,2.299166666666667,0.1525,80.05499999999999,11.5175,25.36,0.6875,0.6383333333333333,0.6533333333333333,-0.35916666666666663,4.285833333333334,130.2575,82.34166666666667,12.825833333333334,77.94833333333334,19.040833333333335,14.615,16.8275,26.201666666666668,11.865,9.753333333333332,35.80083333333334,19.224999999999998,92.0,121.77499999999999,1.8008333333333333,5.151666666666666,0.10333333333333333,2.1658333333333335,1.1258333333333332,3.7133333333333334,0.06333333333333334,1.74,3.5
2020,LOS MARTIRES,4.60055,-74.07481,32.138333333333335,8.175833333333333,8.390833333333333,9.771666666666667,17.188333333333333,1.1958333333333333,0.03833333333333334,2.299166666666667,0.1525,80.05499999999999,11.5175,25.36,0.6875,0.6383333333333333,0.6533333333333333,-0.35916666666666663,4.285833333333334,130.2575,82.34166666666667,12.825833333333334,77.94833333333334,19.040833333333335,14.615,16.8275,26.201666666666668,11.865,9.753333333333332,35.80083333333334,19.224999999999998,92.0,121.77499999999999,1.8008333333333333,5.151666666666666,0.10333333333333333,2.1658333333333335,1.1258333333333332,3.7133333333333334,0.06333333333333334,1.74,3.5
