modelo,etapa,conjunto,anos,n_registros,n_features,hiperparametros,MAE,RMSE,R2
XGBoost_con_latitud_longitud,seleccion_temporal,entrenamiento_2020_2022,2020-2022,359,24,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 200, ""n_jobs"": -1, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.18857497967106085,0.2704294676052876,0.9935103003612681
XGBoost_con_latitud_longitud,seleccion_temporal,validacion_2023,2023,120,24,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 200, ""n_jobs"": -1, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.8764399555226672,2.39993001350726,-0.10219127997510902
XGBoost_con_latitud_longitud,modelo_final,entrenamiento_2020_2023,2020-2023,479,24,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 200, ""n_jobs"": -1, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.21102364627416278,0.32589634595536193,0.9891496378692775
XGBoost_con_latitud_longitud,modelo_final,prueba_2024,2024,117,24,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 200, ""n_jobs"": -1, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}",1.1211968429511265,2.0006404022348394,0.2934914925655059
XGBoost_sin_latitud_longitud,seleccion_temporal,entrenamiento_2020_2022,2020-2022,359,22,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 200, ""n_jobs"": -1, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}",1.3387576971186776,1.973402829403974,0.65442042699947
XGBoost_sin_latitud_longitud,seleccion_temporal,validacion_2023,2023,120,22,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 200, ""n_jobs"": -1, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}",2.0580242199266103,3.1456309585321636,-0.8935438092302064
XGBoost_sin_latitud_longitud,modelo_final,entrenamiento_2020_2023,2020-2023,479,22,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 200, ""n_jobs"": -1, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}",1.3746740139489273,2.0317183812151622,0.5782915819855226
XGBoost_sin_latitud_longitud,modelo_final,prueba_2024,2024,117,22,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 200, ""n_jobs"": -1, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}",1.9314553830577668,2.4432600030814964,-0.053704165346013744
