escenario,modelo,baseline_referencia,MAE_modelo,MAE_baseline,mejora_MAE,mejora_MAE_porcentaje,RMSE_modelo,RMSE_baseline,mejora_RMSE,mejora_RMSE_porcentaje,R2_modelo,R2_baseline,diferencia_R2,es_mejor_baseline
prueba_2024,XGBoost - con_latitud_longitud,Baseline - media localidad-bimestre,1.1211968429511263,0.7131365506408356,-0.5722049892739356,-57.22049892739356,2.0006404022348394,0.9910727622533034,-1.0186614731356176,-101.86614731356175,0.2934914925655059,0.8266234299681222,-0.5331319374026163,True
prueba_2024,XGBoost - con_latitud_longitud,Baseline - media por localidad,1.1211968429511263,0.7842786586459662,-0.4295898920504089,-42.958989205040886,2.0006404022348394,1.149376775835764,-0.7406306132991793,-74.06306132991793,0.2934914925655059,0.7668130935255139,-0.47332160096000797,False
prueba_2024,XGBoost - con_latitud_longitud,Baseline - seasonal naive,1.1211968429511263,1.1026892012561096,-0.016784096256618808,-1.6784096256618808,2.0006404022348394,2.384286892879075,0.1609061777716585,16.09061777716585,0.2934914925655059,-0.0034514122092583754,0.29694290477476426,False
prueba_2024,XGBoost - con_latitud_longitud,Baseline - media global,1.1211968429511263,1.9732167981920936,0.43179236869542537,43.179236869542535,2.0006404022348394,2.4716264611097176,0.190557135669851,19.055713566985098,0.2934914925655059,-0.07831338976871605,0.37180488233422193,False
prueba_2024,Ridge - con_latitud_longitud,Baseline - media localidad-bimestre,1.7856093627305014,0.7131365506408356,-1.503881425129486,-150.3881425129486,2.2807504066453625,0.9910727622533034,-1.301294610760816,-130.1294610760816,0.0818051601523953,0.8266234299681222,-0.7448182698157269,True
prueba_2024,Ridge - con_latitud_longitud,Baseline - media por localidad,1.7856093627305014,0.7842786586459662,-1.2767537316561728,-127.67537316561727,2.2807504066453625,1.149376775835764,-0.9843366027531968,-98.43366027531968,0.0818051601523953,0.7668130935255139,-0.6850079333731185,False
prueba_2024,Ridge - con_latitud_longitud,Baseline - seasonal naive,1.7856093627305014,1.1026892012561096,-0.619322435275919,-61.9322435275919,2.2807504066453625,2.384286892879075,0.043424508410852325,4.342450841085233,0.0818051601523953,-0.0034514122092583754,0.08525657236165368,False
prueba_2024,Ridge - con_latitud_longitud,Baseline - media global,1.7856093627305014,1.9732167981920936,0.09507695030443808,9.507695030443807,2.2807504066453625,2.4716264611097176,0.077226901988521,7.7226901988521,0.0818051601523953,-0.07831338976871605,0.16011854992111135,False
prueba_2024,Ridge - sin_latitud_longitud,Baseline - media localidad-bimestre,1.8466278286020985,0.7131365506408356,-1.5894449344135988,-158.94449344135987,2.3844431965566835,0.9910727622533034,-1.4059214291546187,-140.59214291546186,-0.0035829805096021,0.8266234299681222,-0.8302064104777244,True
prueba_2024,Ridge - sin_latitud_longitud,Baseline - media por localidad,1.8466278286020985,0.7842786586459662,-1.3545557541885005,-135.45557541885006,2.3844431965566835,1.149376775835764,-1.0745531375669626,-107.45531375669626,-0.0035829805096021,0.7668130935255139,-0.770396074035116,False
prueba_2024,Ridge - sin_latitud_longitud,Baseline - seasonal naive,1.8466278286020985,1.1026892012561096,-0.6746584862702418,-67.46584862702419,2.3844431965566835,2.384286892879075,-6.555573411715088e-05,-0.006555573411715088,-0.0035829805096021,-0.0034514122092583754,-0.0001315683003437246,False
prueba_2024,Ridge - sin_latitud_longitud,Baseline - media global,1.8466278286020985,1.9732167981920936,0.06415360425979488,6.415360425979488,2.3844431965566835,2.4716264611097176,0.035273641031456804,3.5273641031456804,-0.0035829805096021,-0.07831338976871605,0.07473040925911395,False
prueba_2024,XGBoost - sin_latitud_longitud,Baseline - media localidad-bimestre,1.9314553830577668,0.7131365506408356,-1.70839488078704,-170.839488078704,2.4432600030814964,0.9910727622533034,-1.4652680369567412,-146.52680369567412,-0.0537041653460137,0.8266234299681222,-0.880327595314136,True
prueba_2024,XGBoost - sin_latitud_longitud,Baseline - media por localidad,1.9314553830577668,0.7842786586459662,-1.462715721976124,-146.2715721976124,2.4432600030814964,1.149376775835764,-1.1257259189919608,-112.57259189919608,-0.0537041653460137,0.7668130935255139,-0.8205172588715276,False
prueba_2024,XGBoost - sin_latitud_longitud,Baseline - seasonal naive,1.9314553830577668,1.1026892012561096,-0.7515863770657973,-75.15863770657974,2.4432600030814964,2.384286892879075,-0.024734066348538253,-2.4734066348538253,-0.0537041653460137,-0.0034514122092583754,-0.050252753136755327,False
prueba_2024,XGBoost - sin_latitud_longitud,Baseline - media global,1.9314553830577668,1.9732167981920936,0.021164129138060095,2.1164129138060095,2.4432600030814964,2.4716264611097176,0.011476838622080932,1.1476838622080932,-0.0537041653460137,-0.07831338976871605,0.024609224422702344,False
prueba_2024,Regresion lineal - con_latitud_longitud,Baseline - media localidad-bimestre,2.7091849037803386,0.7131365506408356,-2.7989707600119824,-279.89707600119823,2.9823520828799603,0.9910727622533034,-2.009216070169544,-200.9216070169544,-0.5699909600014859,0.8266234299681222,-1.3966143899696082,True
prueba_2024,Regresion lineal - con_latitud_longitud,Baseline - media por localidad,2.7091849037803386,0.7842786586459662,-2.454365197769968,-245.43651977699682,2.9823520828799603,1.149376775835764,-1.5947558238344923,-159.47558238344922,-0.5699909600014859,0.7668130935255139,-1.3368040535269996,False
prueba_2024,Regresion lineal - con_latitud_longitud,Baseline - seasonal naive,2.7091849037803386,1.1026892012561096,-1.4568889408676688,-145.68889408676688,2.9823520828799603,2.384286892879075,-0.25083608511503797,-25.083608511503797,-0.5699909600014859,-0.0034514122092583754,-0.5665395477922275,False
prueba_2024,Regresion lineal - con_latitud_longitud,Baseline - media global,2.7091849037803386,1.9732167981920936,-0.3729788365183977,-37.29788365183977,2.9823520828799603,2.4716264611097176,-0.2066354401874042,-20.66354401874042,-0.5699909600014859,-0.07831338976871605,-0.4916775702327698,False
prueba_2024,Regresion lineal - sin_latitud_longitud,Baseline - media localidad-bimestre,3.113925258361629,0.7131365506408356,-3.366520346718181,-336.65203467181806,3.4106790727316265,0.9910727622533034,-2.4414012801412333,-244.14012801412332,-1.0533408096834815,0.8266234299681222,-1.8799642396516036,True
prueba_2024,Regresion lineal - sin_latitud_longitud,Baseline - media por localidad,3.113925258361629,0.7842786586459662,-2.9704322233346607,-297.0432223334661,3.4106790727316265,1.149376775835764,-1.9674160331381039,-196.7416033138104,-1.0533408096834815,0.7668130935255139,-1.8201539032089955,False
prueba_2024,Regresion lineal - sin_latitud_longitud,Baseline - seasonal naive,3.113925258361629,1.1026892012561096,-1.8239373840012707,-182.39373840012706,3.4106790727316265,2.384286892879075,-0.4304818278865603,-43.04818278865603,-1.0533408096834815,-0.0034514122092583754,-1.0498893974742232,False
prueba_2024,Regresion lineal - sin_latitud_longitud,Baseline - media global,3.113925258361629,1.9732167981920936,-0.5780958591142538,-57.80958591142537,3.4106790727316265,2.4716264611097176,-0.3799330628626991,-37.99330628626991,-1.0533408096834815,-0.07831338976871605,-0.9750274199147655,False
