config_id,train_years,validation_year,n_train,n_validation,metrics_scale,objective,eval_metric,random_state,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,MAE,RMSE,R2,n_registros
10,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,100,0.03,4,1,0.8,0.8,0.0,5.0,1.4421990371279254,2.087697885729339,0.0426174597958594,114
11,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,100,0.03,4,1,1.0,0.8,0.0,1.0,1.2647788344470186,1.8175037295316365,0.03725738829353753,114
11,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,100,0.03,4,1,1.0,0.8,0.0,1.0,1.4703751237765106,2.3893180598945167,-0.1222114202294533,114
11,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,100,0.03,4,1,1.0,0.8,0.0,1.0,1.5529182553092207,2.0977335288456778,0.03339098842333221,114
12,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,100,0.03,4,1,1.0,0.8,0.0,5.0,1.2720156338263537,1.8172238488359322,0.037553874425353406,114
12,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,100,0.03,4,1,1.0,0.8,0.0,5.0,1.4214940650824117,2.3409273595507853,-0.07721558333099487,114
12,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,100,0.03,4,1,1.0,0.8,0.0,5.0,1.5539718843441992,2.0975910305416514,0.03352230678631085,114
13,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,100,0.03,4,3,0.8,0.8,0.0,1.0,1.2562525255154526,1.821189359229366,0.03334882906372749,114
13,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,100,0.03,4,3,0.8,0.8,0.0,1.0,1.4432520725987583,2.395841724440415,-0.12834783656902404,114
13,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,100,0.03,4,3,0.8,0.8,0.0,1.0,1.437675763140468,2.090830525562198,0.03974215409444992,114
14,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,100,0.03,4,3,0.8,0.8,0.0,5.0,1.2729927998856383,1.8173041482155678,0.037468815521495724,114
14,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,100,0.03,4,3,0.8,0.8,0.0,5.0,1.4400327168680074,2.405220263803334,-0.13719897781710877,114
14,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,100,0.03,4,3,0.8,0.8,0.0,5.0,1.4497624397681583,2.0865808233568677,0.043641717091576715,114
15,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,100,0.03,4,3,1.0,0.8,0.0,1.0,1.262037589995552,1.827812385831698,0.026305302715518897,114
15,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,100,0.03,4,3,1.0,0.8,0.0,1.0,1.4666793566039455,2.3792564727808587,-0.11277989742429351,114
15,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,100,0.03,4,3,1.0,0.8,0.0,1.0,1.5459732308523264,2.096284044998099,0.03472633447379703,114
16,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,100,0.03,4,3,1.0,0.8,0.0,5.0,1.2728068823486605,1.816860962705026,0.03793822275843017,114
16,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,100,0.03,4,3,1.0,0.8,0.0,5.0,1.4674836286730137,2.379295311858188,-0.11281622784746403,114
16,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,100,0.03,4,3,1.0,0.8,0.0,5.0,1.554006785477954,2.0981717814906915,0.032987063710457454,114
17,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,100,0.05,3,1,0.8,0.8,0.0,1.0,1.2545803028062654,1.8310120216874528,0.022893360278996244,114
17,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,100,0.05,3,1,0.8,0.8,0.0,1.0,1.4495779387350993,2.4072715549082044,-0.13913952431511434,114
17,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,100,0.05,3,1,0.8,0.8,0.0,1.0,1.4677383144425833,2.0846043180324987,0.04545267207828285,114
18,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,100,0.05,3,1,0.8,0.8,0.0,5.0,1.276653027036887,1.798008653822423,0.057799938283382035,114
18,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,100,0.05,3,1,0.8,0.8,0.0,5.0,1.4547681594888546,2.430984447070254,-0.16169230635943865,114
18,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,100,0.05,3,1,0.8,0.8,0.0,5.0,1.4669334062159676,2.086431193367646,0.043778874250381294,114
19,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,100,0.05,3,1,1.0,0.8,0.0,1.0,1.242638757270484,1.8324030824241753,0.021408136830017743,114
19,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,100,0.05,3,1,1.0,0.8,0.0,1.0,1.4768258971114192,2.422752546406436,-0.15383808542923938,114
19,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,100,0.05,3,1,1.0,0.8,0.0,1.0,1.4722353739077265,2.086876609227726,0.043370558347850086,114
20,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,100,0.05,3,1,1.0,0.8,0.0,5.0,1.263986661082789,1.807939185057752,0.04736351956583296,114
20,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,100,0.05,3,1,1.0,0.8,0.0,5.0,1.4510860235949454,2.3890055586945804,-0.12191788921104973,114
20,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,100,0.05,3,1,1.0,0.8,0.0,5.0,1.4729880070463688,2.0848493433001365,0.04522826310231243,114
21,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,100,0.05,3,3,0.8,0.8,0.0,1.0,1.2598209728278251,1.811488779872001,0.04361915357644974,114
21,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,100,0.05,3,3,0.8,0.8,0.0,1.0,1.4419682986676081,2.404720573914711,-0.1367265156382027,114
21,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,100,0.05,3,3,0.8,0.8,0.0,1.0,1.4647711839393134,2.085226985100285,0.04488234422427828,114
22,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,100,0.05,3,3,0.8,0.8,0.0,5.0,1.2783828378507678,1.7977810211395557,0.058038493254520596,114
22,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,100,0.05,3,3,0.8,0.8,0.0,5.0,1.4568000659944853,2.437736545201761,-0.16815450621799188,114
22,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,100,0.05,3,3,0.8,0.8,0.0,5.0,1.48200340959164,2.0875875858449606,0.04271862040404706,114
23,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,100,0.05,3,3,1.0,0.8,0.0,1.0,1.2343744225273916,1.8360523368412576,0.017506498931754044,114
23,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,100,0.05,3,3,1.0,0.8,0.0,1.0,1.4634944295609436,2.399279720135588,-0.13158848331170891,114
23,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,100,0.05,3,3,1.0,0.8,0.0,1.0,1.4963905160015099,2.089147734426099,0.04128724643273596,114
24,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,100,0.05,3,3,1.0,0.8,0.0,5.0,1.258864762424179,1.805795958220926,0.049620792275338665,114
24,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,100,0.05,3,3,1.0,0.8,0.0,5.0,1.4765161579198844,2.4110083015323127,-0.14267878396211708,114
24,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,100,0.05,3,3,1.0,0.8,0.0,5.0,1.489244518819198,2.086171258458823,0.04401711816562193,114
25,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,100,0.05,4,1,0.8,0.8,0.0,1.0,1.247345814338107,1.8256193701661312,0.02864038563140925,114
25,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,100,0.05,4,1,0.8,0.8,0.0,1.0,1.4602667679386667,2.421088575033781,-0.15225369397022925,114
25,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,100,0.05,4,1,0.8,0.8,0.0,1.0,1.4588441919484554,2.0840556573361995,0.04595507311052027,114
26,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,100,0.05,4,1,0.8,0.8,0.0,5.0,1.2742049283355439,1.799951446012706,0.05576269795414113,114
26,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,100,0.05,4,1,0.8,0.8,0.0,5.0,1.4491468779094778,2.4182290727525513,-0.14953349088089385,114
