modelo,iteracion,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,MAE_train,RMSE_train,R2_train,MAE_val_2023,RMSE_val_2023,R2_val_2023
XGBoost_con_latitud_longitud,25,200,0.05,4,1,0.8,0.8,0.18857497967106085,0.2704294676052876,0.9935103003612681,0.8764399555226672,2.39993001350726,-0.10219127997510902
XGBoost_con_latitud_longitud,57,400,0.05,4,1,0.8,0.8,0.0991411982043721,0.14230986293193384,0.9982028407137731,0.8734889920705827,2.417568204680241,-0.11845183722484176
XGBoost_con_latitud_longitud,9,200,0.03,4,1,0.8,0.8,0.2927260830885209,0.4624951303125508,0.9810184838284353,0.9285153615016167,2.438021219612724,-0.13745645366640447
XGBoost_con_latitud_longitud,26,200,0.05,4,1,0.8,1.0,0.18639432393114133,0.26703603864489633,0.9936721478367432,0.9109426112863492,2.445876756915385,-0.14479824936202257
XGBoost_con_latitud_longitud,14,200,0.03,4,3,0.8,1.0,0.3217706075708301,0.5384682014318511,0.974270183202712,0.927174713089892,2.450545488038543,-0.1491728412389064
XGBoost_con_latitud_longitud,29,200,0.05,4,3,0.8,0.8,0.21615390682932115,0.32187225122145924,0.9908064414624291,0.9105333808068714,2.4542579097425365,-0.1526573272367222
XGBoost_con_latitud_longitud,58,400,0.05,4,1,0.8,1.0,0.09810467017062265,0.13751077739644368,0.9983220073847769,0.9134530716196301,2.4575149192126995,-0.15571870631833828
XGBoost_con_latitud_longitud,41,400,0.03,4,1,0.8,0.8,0.1644110824168915,0.23289790952883033,0.9951866465751177,0.9102725667454633,2.46463666313936,-0.16242683144095316
XGBoost_con_latitud_longitud,10,200,0.03,4,1,0.8,1.0,0.28978561707858397,0.44901018239194745,0.982109233393297,0.9391965058531663,2.467451552008083,-0.16508358888490804
XGBoost_con_latitud_longitud,61,400,0.05,4,3,0.8,0.8,0.12401916479413155,0.1763774536112873,0.9972394049351043,0.9159651257211624,2.4688821766991595,-0.16643500796453736
XGBoost_con_latitud_longitud,46,400,0.03,4,3,0.8,1.0,0.1897271894292047,0.2767591602984608,0.9932029482087124,0.9148377228433361,2.471523961449809,-0.1689325907838115
XGBoost_con_latitud_longitud,16,200,0.03,4,3,1.0,1.0,0.28600864033842316,0.4603192936145263,0.9811966631258171,0.9318817148965672,2.4753449967828387,-0.17254978040803648
XGBoost_con_latitud_longitud,42,400,0.03,4,1,0.8,1.0,0.16350850519187887,0.2314834878918168,0.9952449333835975,0.9185657830113847,2.482689577230015,-0.17951823315962834
XGBoost_con_latitud_longitud,15,200,0.03,4,3,1.0,0.8,0.3036887851229538,0.4969389845111006,0.9780859470367385,0.924202340859016,2.4975899780716624,-0.1937189899596108
XGBoost_con_latitud_longitud,30,200,0.05,4,3,0.8,1.0,0.2182550600691705,0.32868761720959866,0.990412988316341,0.8854397553663862,2.498847013637538,-0.19492088847096434
XGBoost_con_latitud_longitud,63,400,0.05,4,3,1.0,0.8,0.1409581495664984,0.20895346955641053,0.9961254992962848,0.9089400597018307,2.507626590866633,-0.2033322316216446
