modelo,conjunto,n_features,MAE,RMSE,R2
con_latitud_longitud,train,24,0.23197191226920066,0.34875471750691617,0.9837163260702804
con_latitud_longitud,validation,24,0.9910928117294256,2.8520547471786113,0.5917118438828103
con_latitud_longitud,test,24,0.42363276786833004,0.7467014963067428,0.8903153049921977
sin_latitud_longitud,train,22,1.2652185819146873,1.906246883859707,0.5135138182176799
sin_latitud_longitud,validation,22,2.4733952308276583,4.375455059253463,0.039057235300667514
sin_latitud_longitud,test,22,1.531498484551631,2.1089549544289263,0.1250432295630447
