analisis,variable,n_observaciones,pearson,p_pearson,spearman,p_spearman,p_pearson_ajustado_bh,p_spearman_ajustado_bh,diferencia_abs_spearman_pearson,signo_pearson,signo_spearman,coincide_sentido,spearman_supera_pearson,magnitud_spearman
todos_596_registros,BIMESTRE_sin,596,0.12991434597273943,0.0014807252324967107,0.16742313750721993,3.9950159653548915e-05,0.008884351394980264,0.0009588038316851739,0.0375087915344805,positivo,positivo,True,False,debil
todos_596_registros,latitud,596,-0.4152200753448476,3.0523671499240834e-26,-0.10170140242134786,0.012988698646591747,7.325681159817801e-25,0.15586438375910097,0.3135186729234998,negativo,negativo,True,False,debil
todos_596_registros,PRECTOTCORR,596,0.05032561384631469,0.2198966425536249,0.07068959917778032,0.08465593189881308,0.5277519421286998,0.3721661893700528,0.020363985331465634,positivo,positivo,True,False,muy debil
todos_596_registros,PS,596,-0.14622360265039563,0.0003415657393767746,-0.06868027341610806,0.09390331168635507,0.002732525915014197,0.3721661893700528,0.07754332923428757,negativo,negativo,True,False,muy debil
todos_596_registros,año,596,-0.0692155357558757,0.0913643429659783,-0.06765806294811842,0.09890868390411142,0.3538985051461954,0.3721661893700528,0.001557472807757282,negativo,negativo,True,False,muy debil
todos_596_registros,longitud,596,-0.1717737694311613,2.4855786205081166e-05,0.066069896191111,0.10710421855582533,0.000298269434460974,0.3721661893700528,0.10570387324005029,negativo,positivo,False,False,muy debil
todos_596_registros,PRECTOTCORR_SUM,596,0.04771276511743548,0.2448156514548272,0.06580007490748903,0.10854847189959872,0.5341432395378048,0.3721661893700528,0.018087309790053546,positivo,positivo,True,False,muy debil
todos_596_registros,T2M,596,-0.06681003780034138,0.10322039733430699,-0.05267739646742537,0.19906810794681876,0.3538985051461954,0.5972043238404563,0.014132641332916009,negativo,negativo,True,False,muy debil
todos_596_registros,T2M_MAX,596,-0.06791236256097971,0.09764405006049799,-0.04693205276773203,0.2526308862770035,0.3538985051461954,0.6425581961559887,0.02098030979324768,negativo,negativo,True,False,muy debil
todos_596_registros,TS,596,-0.060428573200469626,0.14061647618914025,-0.04368683823396342,0.2869659769736206,0.42184942856742075,0.6425581961559887,0.01674173496650621,negativo,negativo,True,False,muy debil
todos_596_registros,ALLSKY_SFC_SW_DWN,596,-0.02895583733309122,0.48045807509128047,-0.041180011423319875,0.3155485853862153,0.6651740051759569,0.6425581961559887,0.012224174090228655,negativo,negativo,True,False,muy debil
todos_596_registros,CLOUD_AMT,596,-0.028706098576091972,0.4842532934139674,-0.040695656812757774,0.3212790980779944,0.6651740051759569,0.6425581961559887,0.011989558236665802,negativo,negativo,True,False,muy debil
todos_596_registros,QV2M,596,-0.021680885051481285,0.5973266798795536,0.03836366090724774,0.34981183490921464,0.7167920158554643,0.6458064644477809,0.016682775855766458,negativo,positivo,False,False,muy debil
todos_596_registros,GWETTOP,596,0.03890093002976974,0.34309998912207523,0.03193467854989096,0.43645898566310004,0.633415364533062,0.7482154039938858,0.006966251479878782,positivo,positivo,True,False,muy debil
